komentar,noise,clean,normalized,label
Paling suka klo dokter sudah bahas tentang penyakit mental,Clean,paling suka klo dokter sudah bahas tentang penyakit mental,paling suka klo dokter sudah bahas tentang penyakit mental,Normal
Aku depresi karena kepercaan ku di hianatin oleh perselingkuhan tanpa ada kata maaf sedikitpun dari diaa.. maknnyaaa aku jadi depresi gini,Clean,aku depresi karena kepercaan ku di hianatin oleh perselingkuhan tanpa ada kata maaf sedikitpun dari diaa maknnyaaa aku jadi depresi gini,aku depresi karena kepercaan ku di hianatin oleh perselingkuhan tanpa ada kata maaf sedikitpun dari diaa maknnyaaa aku jadi depresi gini,Depresi
"Ternyata gw kaya gitu ... Hampir gila saya jantungan , gara' rokok juga deh terlalu Rilex otak nya , tapi ada kehidupan di otak yang lagi panik jadi kaya kosong ... Saya mau minta tolong ke ortu malu jantungan dan kaya hampir gila saya minta tolong ke Allah aja Lailahailallah dan yang biasa nya jarang saya sebut malah kesebut ... Islam juga ngajarin psikologi sih tapi orang muslim yang di Deket gw bikin gw GK suka belajar Islam ... Mereka bajingan .",Clean,ternyata gw kaya gitu  hampir gila saya jantungan  gara rokok juga deh terlalu rilex otak nya  tapi ada kehidupan di otak yang lagi panik jadi kaya kosong  saya mau minta tolong ke ortu malu jantungan dan kaya hampir gila saya minta tolong ke allah aja lailahailallah dan yang biasa nya jarang saya sebut malah kesebut  islam juga ngajarin psikologi sih tapi orang muslim yang di deket gw bikin gw gk suka belajar islam  mereka bajingan,ternyata saya kaya gitu hampir gila saya jantungan gara rokok juga deh terlalu rilex otak nya tapi ada kehidupan di otak yang lagi panik jadi kaya kosong saya mau minta tolong ke ortu malu jantungan dan kaya hampir gila saya minta tolong ke allah aja lailahailallah dan yang biasa nya jarang saya sebut malah kesebut islam juga ngajarin psikologi sih tapi orang muslim yang di deket saya bikin saya tidak suka belajar islam mereka bajingan,Normal
Aku seperti perlu dokter jiwa dok datangin keprofcass mu dong dok....❤,Clean,aku seperti perlu dokter jiwa dok datangin keprofcass mu dong dok,aku seperti perlu dokter jiwa dok datangin keprofcass mu dong dok,Normal
"Seperti anak kecil,semakin si anak rasa takut akan horor tinggi,semakin seolah2 dia sering lihat penanpakan,,jadi jangan dibiasakan menakut2i sia anak,,mental itu memang diperlukan,,iya gk sih?",Clean,seperti anak kecilsemakin si anak rasa takut akan horor tinggisemakin seolah dia sering lihat penanpakanjadi jangan dibiasakan menakuti sia anakmental itu memang diperlukaniya gk sih,seperti anak kecilsemakin si anak rasa takut akan horor tinggisemakin seolah dia sering lihat penanpakanjadi jangan dibiasakan menakuti sia anakmental itu memang diperlukaniya tidak sih,Cemas
"Walaupun kalian mengalami hari yang berat, belum tentu itu selamanya. Tetap semangat ❤‍🔥",Clean,walaupun kalian mengalami hari yang berat belum tentu itu selamanya tetap semangat,walaupun kalian mengalami hari yang berat belum tentu itu selamanya tetap semangat,Normal
Kaya W0 W0 w000,Clean,kaya w w w,kaya w w w,Normal
Dokter Tirta dan keluarga semoga bahagia dan sehat selalu ya dok 🤲🏻 seneng bgt dengerin semua konten edukasi nya 🤣🤍,Clean,dokter tirta dan keluarga semoga bahagia dan sehat selalu ya dok  seneng bgt dengerin semua konten edukasi nya,dokter tirta dan keluarga semoga bahagia dan sehat selalu ya dok seneng banget dengerin semua konten edukasi nya,Normal
Info doang guys saya cara sharing cerita keluh kesah kita ke dokter tirta gimana ya? Berharap banget bisa berbagi cerita ke dr.tirta walaupun hanya sebatas sosial media saja,Clean,info doang guys saya cara sharing cerita keluh kesah kita ke dokter tirta gimana ya berharap banget bisa berbagi cerita ke drtirta walaupun hanya sebatas sosial media saja,info doang guys saya cara sharing cerita keluh kesah kita ke dokter tirta gimana ya berharap banget bisa berbagi cerita ke drtirta walaupun hanya sebatas sosial media saja,Normal
"Jika tak di pendam, di usir dari rumah",Clean,jika tak di pendam di usir dari rumah,jika tak di pendam di usir dari rumah,Normal
Itukan yg gebrak gebrak mejo ituu dok pak Wowo kan pak 😂🤣🤣Ama pak hartooo 😂😂,Clean,itukan yg gebrak gebrak mejo ituu dok pak wowo kan pak ama pak hartooo,itukan yg gebrak gebrak mejo ituu dok pak wowo kan pak ama pak hartooo,Normal
Trm Dok Ilmu nya tentang penyebab orang depresi 🙏👍👍👍,Clean,trm dok ilmu nya tentang penyebab orang depresi,trm dok ilmu nya tentang penyebab orang depresi,Depresi
ohhh maksudnya prabowo,Clean,ohhh maksudnya prabowo,ohhh maksudnya prabowo,Normal
"Surat untuk diriku, dunia tetap berjalan ada atau tanpa adanya kamu, kalau kamu mati tidak ada yang peduli. Dunia akan terus berjalan, keluarga dan tetangga akan makanya enak di hari ke 7 dan 100 dan 1.000 hari kamu tiada",Clean,surat untuk diriku dunia tetap berjalan ada atau tanpa adanya kamu kalau kamu mati tidak ada yang peduli dunia akan terus berjalan keluarga dan tetangga akan makanya enak di hari ke  dan  dan  hari kamu tiada,surat untuk diriku dunia tetap berjalan ada atau tanpa adanya kamu kalau kamu mati tidak ada yang peduli dunia akan terus berjalan keluarga dan tetangga akan makanya enak di hari ke dan dan hari kamu tiada,Normal
Bagaimana cara mengetahui Defense mechanism kita dok?,Clean,bagaimana cara mengetahui defense mechanism kita dok,bagaimana cara mengetahui defense mechanism kita dok,Normal
thumbnail nya menarikk hehe,Clean,thumbnail nya menarikk hehe,thumbnail nya menarikk hehe,Normal
intinya pikiran yang sehat membantu tubuh agar sehat begitu pula sebaliknya,Clean,intinya pikiran yang sehat membantu tubuh agar sehat begitu pula sebaliknya,intinya pikiran yang sehat membantu tubuh agar sehat begitu pula sebaliknya,Normal
Tapi cerita sama siapa?,Clean,tapi cerita sama siapa,tapi cerita sama siapa,Normal
Tumben bangeet liat Dr. Tirta gak marah²,Clean,tumben bangeet liat dr tirta gak marah,tumben bangeet liat dr tirta gak marah,Normal
"Klo mencedarai diri sendiri sih masih mending 
Jaman skrg banyak yg memcelakai org org sekitar y .
Semoga mental generasi indonesia bisa lebih kuat lagi",Clean,"klo mencedarai diri sendiri sih masih mending 
jaman skrg banyak yg memcelakai org org sekitar y 
semoga mental generasi indonesia bisa lebih kuat lagi",klo mencedarai diri sendiri sih masih mending jaman skrg banyak yg memcelakai org org sekitar y semoga mental generasi indonesia bisa lebih kuat lagi,Normal
Soalnya saya gak tau harus cerita kesiapa lagi saya gak punya banyak temen dan keluarga saya juga penganut hal mistis spritual jadi apa apa di kait kan Dengan hal itu,Clean,soalnya saya gak tau harus cerita kesiapa lagi saya gak punya banyak temen dan keluarga saya juga penganut hal mistis spritual jadi apa apa di kait kan dengan hal itu,soalnya saya gak tau harus cerita kesiapa lagi saya gak punya banyak temen dan keluarga saya juga penganut hal mistis spritual jadi apa apa di kait kan dengan hal itu,Normal
Dan aku adalah anak di keluarga yang satu satu tidak percaya hal hal seperti itu terimakasih,Clean,dan aku adalah anak di keluarga yang satu satu tidak percaya hal hal seperti itu terimakasih,dan aku adalah anak di keluarga yang satu satu tidak percaya hal hal seperti itu terimakasih,Normal
"Untuk diriku. Berhenti percaya di balik  kata kata semua akan baik baik saja, hidup itu tidak akan pernah baik, sejauh apapun kamu men coba memperbaikinya, sebaik  apapun kamu. KAMU TIDAK BERHARGA.",Clean,untuk diriku berhenti percaya di balik  kata kata semua akan baik baik saja hidup itu tidak akan pernah baik sejauh apapun kamu men coba memperbaikinya sebaik  apapun kamu kamu tidak berharga,untuk diriku berhenti percaya di balik kata kata semua akan baik baik saja hidup itu tidak akan pernah baik sejauh apapun kamu men coba memperbaikinya sebaik apapun kamu kamu tidak berharga,Normal
 @elkeluisacahyapratama7869  WOI JGN GITU,Noise,woi jgn gitu,woi jgn gitu,Normal
"22:35 jadi keinget tragedi yg baru terjadi di Cangar. Semoga Khusnul khatimah.
Semoga sehat, kuat selalu semua2 yg lagi alami depresi",Clean,"jadi keinget tragedi yg baru terjadi di cangar semoga khusnul khatimah
semoga sehat kuat selalu semua yg lagi alami depresi",jadi keinget tragedi yg baru terjadi di cangar semoga khusnul khatimah semoga sehat kuat selalu semua yg lagi alami depresi,Depresi
"Kurang redbull 
Sedih berkepanjangan redbull solusinya sekalian daftar jadi atlit",Clean,"kurang redbull 
sedih berkepanjangan redbull solusinya sekalian daftar jadi atlit",kurang redbull sedih berkepanjangan redbull solusinya sekalian daftar jadi atlit,Depresi
"Depresi ortu nac gaboleh ngapa-ngapain tpi pas gede harus bisa sendiri. Selalu dibedain kalo minta duit untuk keperluan sekolah dibilang duit terus tapi anak lainnya nggak. Gadisupport karena ya keterbatasan uang. Nyalahin gue lah kalo ga mau punya anak ngapain juga dikira anak pengen disini dan punya pilihan. Kebanyakan stress dikira orang lain ga ada masalah fine aja sampe ga kuat. Sumpek kalau di negera ini juga susah banget kalau ngga ada kenalan dan umur dan upah ga memadai. Aslinya banyak orang stress karena emang hidup dinegara ini ditelan habis-haabisan kecuali lo lahir di keluarga yang berada, dan misalnya ada sih yang ngga berada tapi ortunya enak.. Banyakan ortunya juga stress masalah uang kena anaknya disalahin itu trauma

Pengen apa-apa selalu butuh uang walaupun kegiatan apa aja itu kalo ngga ada masalah sih. Masalah  sepele di meluber kalo ngga mampu sama sekali orang ga paham. Sensian. Ya sakit lah intinya",Clean,"depresi ortu nac gaboleh ngapangapain tpi pas gede harus bisa sendiri selalu dibedain kalo minta duit untuk keperluan sekolah dibilang duit terus tapi anak lainnya nggak gadisupport karena ya keterbatasan uang nyalahin gue lah kalo ga mau punya anak ngapain juga dikira anak pengen disini dan punya pilihan kebanyakan stress dikira orang lain ga ada masalah fine aja sampe ga kuat sumpek kalau di negera ini juga susah banget kalau ngga ada kenalan dan umur dan upah ga memadai aslinya banyak orang stress karena emang hidup dinegara ini ditelan habishaabisan kecuali lo lahir di keluarga yang berada dan misalnya ada sih yang ngga berada tapi ortunya enak banyakan ortunya juga stress masalah uang kena anaknya disalahin itu trauma

pengen apaapa selalu butuh uang walaupun kegiatan apa aja itu kalo ngga ada masalah sih masalah  sepele di meluber kalo ngga mampu sama sekali orang ga paham sensian ya sakit lah intinya",depresi ortu nac gaboleh ngapangapain tpi pas gede harus bisa sendiri selalu dibedain kalo minta duit untuk keperluan sekolah dibilang duit terus tapi anak lainnya nggak gadisupport karena ya keterbatasan uang nyalahin saya lah kalo tidak mau punya anak ngapain juga dikira anak pengen disini dan punya pilihan kebanyakan stres dikira orang lain tidak ada masalah fine aja sampe tidak kuat sumpek kalau di negera ini juga susah banget kalau tidak ada kenalan dan umur dan upah tidak memadai aslinya banyak orang stres karena emang hidup dinegara ini ditelan habishaabisan kecuali lo lahir di keluarga yang berada dan misalnya ada sih yang tidak berada tapi ortunya enak banyakan ortunya juga stres masalah uang kena anaknya disalahin itu trauma pengen apaapa selalu butuh uang walaupun kegiatan apa aja itu kalo tidak ada masalah sih masalah sepele di meluber kalo tidak mampu sama sekali orang tidak paham sensian ya sakit lah intinya,Stress
